pack,issue,title,artist,deezerId,detail
"2020's Mega Hits","EXPLICIT","Mamushi (feat. Yuki Chiba)","Megan Thee Stallion","2867606132","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Never Gonna Not Dance Again","P!nk","1992816487","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Players","Coi Leray","2032141427","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Princess Diana","Ice Spice","2236341857","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Seven (feat. Latto)","JUNG KOOK","2364618815","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Sweetest Pie","Megan Thee Stallion","1679489667","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","THATS WHAT I WANT","Lil Nas X","1493915892","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","The Emptiness Machine","Linkin Park","2978105041","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Victoria's Secret","Jax","1801761047","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Wild Ones","Jessie Murph","2480796901","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Boyfriend","Dove Cameron","1649426332","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Super Freaky Girl","Nicki Minaj","1863905587","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Bad Habit","Steve Lacy","1805106587","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Escapism.","RAYE","1925023707","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Lovin On Me","Jack Harlow","2535000521","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Hell N Back (feat. Summer Walker)","Bakar","2461123655","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","That’s So True","Gracie Abrams","3047560351","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Cowboys Cry Too (with Noah Kahan)","Kelsea Ballerini","2853023522","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","High Road","Koe Wetzel","2832264262","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Messy","Lola Young","2815968782","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","If We Ever Broke Up","Mae Stephens","2135303217","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Not My Fault","Reneé Rapp","2585772662","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Pretty Girls","Reneé Rapp","2407557495","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","I Think I Like You","The Band Camino","1477894832","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","On My Mama","Victoria Monét","2309351085","Deezer explicit_lyrics = true"
"70's Mega Hits","DUPLICATE","Stayin' Alive","Bee Gees","406815322","also present as ""Stayin Alive"""
"70's Mega Hits","ODD CUT","Unchained Melody (Live at Ann Arbor, MI)","Elvis Presley","15398781","live/remix/instrumental/edit variant"
