OriginalTitle,OriginalArtist,OriginalDeezerId,AlternativeTitle,AlternativeArtist,AlternativeDeezerId
"(thematic candidate)","","","She's Gone","Daryl Hall & John Oates","4288127"
"(thematic candidate)","","","Midnight City","M83","75569764"
"(thematic candidate)","","","I Want","Enny","1355405782"
"(thematic candidate)","","","The Way We Move","Langhorne Slim","29010031"
"(thematic candidate)","","","Poison","feeble little horse","3957762701"
"(thematic candidate)","","","God Only Knows","Warren Zeiders","2305066765"
"(thematic candidate)","","","Wouldn't It Be Nice","The Beach Boys","3102938"
"(thematic candidate)","","","The High Road","Broken Bells","5417700"
"(thematic candidate)","","","2am","Foals","1639792302"
"(thematic candidate)","","","PULSE","Michelle","1926699647"
"(thematic candidate)","","","Long Haired Country Boy","The Charlie Daniels Band","7511814"
"(thematic candidate)","","","Notion","Kings Of Leon","15531175"
"(thematic candidate)","","","Baker Street (Radio Edit)","Gerry Rafferty","2892771012"
"(thematic candidate)","","","THE SHADE","Rex Orange County","1680292317"
"(thematic candidate)","","","Come a Little Closer","Cage The Elephant","71127716"
"(thematic candidate)","","","Sho Been Worse","Tyler Bryant & The Shakedown","2125579767"
"(thematic candidate)","","","Life on Blue","Xavier Polycarpe","3048349871"
"(thematic candidate)","","","Another Girl Another Planet","The Only Ones","2170005"
"(thematic candidate)","","","Go Outside","Cults","12000297"
"(thematic candidate)","","","Down The Road","Sam Barber","3042275181"
"(thematic candidate)","","","Anna Sun","WALK THE MOON","34792281"
"(thematic candidate)","","","Arizona","Kings Of Leon","555263732"
"(thematic candidate)","","","Free Riding","Horisont","908760332"
"(thematic candidate)","","","Capricorn","Vampire Weekend","2660011372"
"(thematic candidate)","","","Peach Pit","Peach Pit","519653262"
"(thematic candidate)","","","Blue Sky","The Allman Brothers Band","128948406"
"(thematic candidate)","","","Life's Been Good","Joe Walsh","4288345"
"(thematic candidate)","","","Summertime (2026 Remaster)","My Chemical Romance","4040103591"
"(thematic candidate)","","","Meeting You Once (The End)","Natanya","3526710761"
"(thematic candidate)","","","Waterloo Sunset","The Kinks","3802993412"
"(thematic candidate)","","","Cold as Ice","Foreigner","3659065"
"(thematic candidate)","","","Cars in the Desert","Nathaniel Rateliff & The Night Sweats","2857518792"
"(thematic candidate)","","","Coming of Age","Foster The People","75802459"
"(thematic candidate)","","","Semi-Charmed Life","Third Eye Blind","4111780"
"(thematic candidate)","","","The Lumberjack (Album Version)","Jackyl","1579946"
"(thematic candidate)","","","Booster Seat","Spacey Jane","1875531387"
"(thematic candidate)","","","Trojans","Atlas Genius","64469875"
"(thematic candidate)","","","Carried Away","Passion Pit","46226321"
"(thematic candidate)","","","Devil Gonna Getcha","Bones Owens","2712441901"
"(thematic candidate)","","","No Reason","Sunny War","1980383597"
"(thematic candidate)","","","Wasted","The War On Drugs","1518911112"
"(thematic candidate)","","","Suit and Jacket","Judah & the Lion","1818984217"
"(thematic candidate)","","","In the Blood","John Mayer","347319591"
"(thematic candidate)","","","The First Cut Is the Deepest (Acoustic Version)","Sheryl Crow","807082"
"(thematic candidate)","","","Shot in the Dark","John Mayer","1432113172"
"(thematic candidate)","","","Rock and Roll, Hoochie Koo","Johnny Winter","13229144"
"(thematic candidate)","","","Dreams I'll Never See (Album Version)","Molly Hatchet","1080863"
"(thematic candidate)","","","We Stayed Up All Night","Tourist","1225177072"
"(thematic candidate)","","","One Way Or Another","Blondie","3151391"
"(thematic candidate)","","","Road Fever","Blackfoot","752762"
"(thematic candidate)","","","The Wire","HAIM","70807169"
"(thematic candidate)","","","Big Time","Angel Olsen","1874533807"
"(thematic candidate)","","","Last Nite","The Strokes","15615270"
"(thematic candidate)","","","Just Another Rainbow","Liam Gallagher","2604220732"
"(thematic candidate)","","","Slow Dances","Winnetka Bowling League","655324822"
"(thematic candidate)","","","Almost (Sweet Music)","Hozier","637865972"
"(thematic candidate)","","","Someday","The Strokes","15615269"
"(thematic candidate)","","","Fire","Two Feet","1875194197"
"(thematic candidate)","","","Really, Really","Dreamer Isioma","1875512367"
"(thematic candidate)","","","Thorazine Shuffle","Gov't Mule","13270179"
"(thematic candidate)","","","30 Days In The Hole","Humble Pie","99487082"
"(thematic candidate)","","","Favorite Liar","The Wrecks","141822155"
"(thematic candidate)","","","Dixie Chicken","Little Feat","6630726"
"(thematic candidate)","","","Pretty Little Lie","Blackberry Smoke","73166438"
"(thematic candidate)","","","Sail","AWOLNATION","16356504"
"(thematic candidate)","","","Caffeine","Jack Kays","2331015635"
"(thematic candidate)","","","Take a Walk","Passion Pit","27552581"
"(thematic candidate)","","","Guitar Town","Steve Earle","2286592"
"(thematic candidate)","","","Ventura Highway","America","4737134"
"(thematic candidate)","","","Drift Away","Uncle Kracker","3593962"
"(thematic candidate)","","","Love Is Everywhere (Beware)","Wilco","2310023105"
"(thematic candidate)","","","If You Don't Love Me (I'll Kill Myself) (Album Version)","Pete Droge","392024482"
"(thematic candidate)","","","I'm No Angel","The Gregg Allman Band","850593"
"(thematic candidate)","","","Right Here, for Now","Bakar","2374292715"
"(thematic candidate)","","","Take Me Home Tonight","Eddie Money","1081064"
"(thematic candidate)","","","Cecilia And The Satellite","Andrew McMahon in the Wilderness","87105821"
"(thematic candidate)","","","Give Up Baby Go","Peach Pit","1670583972"
"(thematic candidate)","","","Blur (feat. Foster The People)","MØ","594427932"
"(thematic candidate)","","","Road to Nowhere (2005 Remaster)","Talking Heads","3119239"
"(thematic candidate)","","","Ghost Town","Adam Lambert","101819685"
"(thematic candidate)","","","Pickup Truck","Kings Of Leon","7330128"
"(thematic candidate)","","","Alabama","Neil Young","726572"
"(thematic candidate)","","","Out In The Woods","Leon Russell","3532304"
"(thematic candidate)","","","The Mother We Share","CHVRCHES","3025690811"
"(thematic candidate)","","","All We Ever Knew","The Head And The Heart","125970801"
"(thematic candidate)","","","Ain't Life Grand","Widespread Panic","76189787"
"(thematic candidate)","","","Lo/Hi","The Black Keys","642966432"
"(thematic candidate)","","","Birmingham","Drive-By Truckers","2491218"
