Title,Artist
"Mr. Blue Sky","Electric Light Orchestra"
"The Show Must Go On","Queen"
"Oh My God","Adele"
"Radio Ga Ga (Remastered 2011)","Queen"
"Piano Man","Billy Joel"
"Don't Dream It's Over","Crowded House"
"Love Never Felt So Good","Michael Jackson"
"Want to Want Me","Jason Derulo"
"The Sound of Silence","Disturbed"
"Somebody To Love","Queen"
"Stronger (What Doesn't Kill You)","Kelly Clarkson"
"Cheap Thrills","Sia"
"We Are The Champions (Remastered 2011)","Queen"
"My Immortal","Evanescence"
"Never Tear Us Apart","INXS"
"Something In The Way","Nirvana"
"One","U2"
"Everybody Wants To Rule The World","Tears For Fears"
"Faith (Remastered)","George Michael"
"Need You Tonight","INXS"
"Pocketful of Sunshine","Natasha Bedingfield"
"Centuries","Fall Out Boy"
"Tennessee Whiskey","Chris Stapleton"
"Come & Get It","Selena Gomez"
"My House","Flo Rida"
"Wildest Dreams","Taylor Swift"
"Twist And Shout (Remastered 2009)","The Beatles"
"Since U Been Gone","Kelly Clarkson"
"Best Day Of My Life","American Authors"
"Unstoppable","Sia"
"Fireball (feat. John Ryan)","Pitbull"
"Some Nights","Fun."
"Stereo Hearts (feat. Adam Levine)","Gym Class Heroes"
"Tuyo (Narcos Theme) [Extended Version] (A Netflix Original Series Soundtrack)","Rodrigo Amarante"
"Marvin Gaye (feat. Meghan Trainor)","Charlie Puth"
"My Sacrifice","Creed"
"Rewrite The Stars","Zac Efron"
"You Could Be Mine","Guns N' Roses"
"Sweet Caroline","Neil Diamond"
"You Can Call Me Al","Paul Simon"
"Who Wants To Live Forever","Queen"
"I Want It All (Remastered 2011)","Queen"
"We Are Never Ever Getting Back Together","Taylor Swift"
"Visions of Gideon","Sufjan Stevens"
"Alone","Heart"
"Smooth (feat. Rob Thomas)","Santana"
"My Songs Know What You Did In The Dark (Light Em Up)","Fall Out Boy"
"Believer","Imagine Dragons"
"Love Of My Life (Remastered 2011)","Queen"
"Crazy Little Thing Called Love","Queen"
"Think","The Blues Brothers"
"Hand in My Pocket (2015 Remaster)","Alanis Morissette"
"You Should Be Dancing","Bee Gees"
"Higher","Creed"
"Sugar","Maroon 5"
"Mia & Sebastian’s Theme","Justin Hurwitz"
"Despacito (Remix)","Luis Fonsi"
"F1","Hans Zimmer"
"Call Me When You're Sober","Evanescence"
"Pour Some Sugar On Me","Def Leppard"
"Accidentally In Love (From ""Shrek 2"" Soundtrack)","Counting Crows"
"(Don't Fear) The Reaper","Blue Öyster Cult"
"Somebody's Watching Me (Single Version)","Rockwell"
"Flashlight (From ""Pitch Perfect 2"" Soundtrack)","Jessie J"
"You Oughta Know (2015 Remaster)","Alanis Morissette"
"I Want To Break Free","Queen"
"Take It Easy (2013 Remaster)","Eagles"
"Sledgehammer","Peter Gabriel"
"The Joker","Steve Miller Band"
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")","P!nk"
"Ashes (from ""Deadpool 2"" Motion Picture Soundtrack)","Céline Dion"
"End Credits","Alan Silvestri"
"Theme from Glass Onion","Nathan Johnson"
"Light of the Seven","Ramin Djawadi"
"Going The Distance (From ""Rocky"" Soundtrack / Remastered 2006)","Bill Conti"
"Kids","Kyle Dixon & Michael Stein"
"Gortoz A Ran","Denez Prigent"
"Test Drive (From How To Train Your Dragon Music From The Motion Picture)","John Powell"
"Stranger Things","Kyle Dixon & Michael Stein"
"Eulogy","Kyle Dixon & Michael Stein"
"I'm Just Ken","Ryan Gosling"
"The Winds of Winter","Ramin Djawadi"
"The Imitation Game","Alexandre Desplat"
"Goodbye Brother","Ramin Djawadi"
"Succession - Andante Risoluto","Nicholas Britell"
"Kung Fu Fighting","Cee-Lo"
"You’re Where You Belong / Give ‘Em Hell","Harold Faltermeyer"
"Dream Is Collapsing","Hans Zimmer"
"Romantic Flight (From How To Train Your Dragon Music From The Motion Picture)","John Powell"
"My Name Is Barbossa","Geoff Zanelli"
"Forbidden Friendship","John Powell"
"A Lannister Always Pays His Debts","Ramin Djawadi"
"Manhattan Project","Ludwig Göransson"
"Blood of My Blood","Ramin Djawadi"
"Destroyer Of Worlds","Ludwig Göransson"
"Winterfell","Ramin Djawadi"
"Final Ascent","Hans Zimmer"
"Theme from World War Z","The Evolved"
"American Prometheus","Ludwig Göransson"
"This Is Berk","John Powell"
"The Last of Us Part II","Gustavo Santaolalla"
"Toss A Coin To Your Witcher","Sonya Belousova"
"First Class","Henry Jackman"
"Main Theme (From ""The Dark Knight Rises"")","Lindsey Stirling"
"The Power of Prophecy","Ramin Djawadi"
"Flying with Mother","John Powell"
"All Must Choose","Ramin Djawadi"
"The Middle of the World","Nicholas Britell"
"Oppenheimer","Ludwig Göransson"
"Worm Ride","Hans Zimmer"
"This Land","Hans Zimmer"
"Stoick's Ship","John Powell"
"Now You See Me 2 Main Titles","Brian Tyler"
"Iron Man 3","Brian Tyler"
"Brothers In Arms","Junkie XL"
"The Legend of Ashitaka (from 'Princess Mononoke')","Joe Hisaishi"
"Indiana Jones Theme","Hollywood Studio Orchestra"
