tier,title,artist,packs,deezer_ids,verdict_keep_or_cut
"LIKELY-CLEAN","Hey Ya!","OutKast","Wedding","628266",""
"LIKELY-CLEAN","Money","Pink Floyd","70's Mega Hits","116914026",""
"LIKELY-CLEAN","touch tank","Quinnie","Road Trip","1881696997",""
"LIKELY-CLEAN","Bad Habit","Steve Lacy","2020's Mega Hits","1805106587",""
"LIKELY-CLEAN","Helmet","Steve Lacy","Road Trip","1817216157",""
"LIKELY-CLEAN","Dracula (JENNIE Remix)","Tame Impala","Road Trip","3818963601",""
"LIKELY-CLEAN","The Less I Know The Better","Tame Impala","Road Trip","103052662",""
"LIKELY-CLEAN","Post Break-Up Sex","The Vaccines","Road Trip","941198052",""
"LIKELY-CLEAN","Who Are You","The Who","Classic TV Themes","540165792",""
"LIKELY-CLEAN","Another Love","Tom Odell","Road Trip","65723649",""
"LIKELY-CLEAN","East Side of Sorrow","Zach Bryan","Road Trip","2417266215",""
