Title,Artist
"Because You Loved Me (Theme from ""Up Close and Personal"")","Céline Dion"
"Dragula","Rob Zombie"
"Take A Chance On Me","ABBA"
"Rock the Casbah (Remastered)","The Clash"
"I'll Be Missing You (feat. Faith Evans & 112) (2014 Remaster)","Diddy"
"The Winner Takes It All (From ""Mamma Mia!"")","Meryl Streep"
"Ain't Nobody","Chaka Khan"
"Superstition","Stevie Wonder"
"I Can See Clearly Now","Jimmy Cliff"
"I Will Survive (1981 Re-recording)","Gloria Gaynor"
"We Are Family (1995 Remaster)","Sister Sledge"
"Angel","Shaggy"
"My Sharona","The Knack"
"Conquest of Paradise","Vangelis"
"La valse d'Amélie","Yann Tiersen"
"21 Guns","Green Day"
"Just like Heaven (2006 Remaster)","The Cure"
"Live And Let Die","Guns N' Roses"
"Chase","Giorgio Moroder"
"One Summer Day","Joe Hisaishi"
"Evenstar","Howard Shore"
"Arrival to Earth","Steve Jablonsky"
"The Breaking of the Fellowship (feat. ""In Dreams"")","Howard Shore"
"Naruto Main Theme","Musashi Project"
"A Gift Of A Thistle","James Horner"
"Mission Impossible - Main Theme","Danny Elfman"
"A Narnia Lullaby","Harry Gregson-Williams"
"Marianelli: Dawn (From ""Pride & Prejudice"" Soundtrack)","Jean-Yves Thibaudet"
"The Black Pearl","Klaus Badelt"
"Prologue: One Ring to Rule Them All","Howard Shore"
"The Medallion Calls","Klaus Badelt"
"Theme from Love Story","Francis Lai"
"The Bridge of Khazad Dum","Howard Shore"
"Gollum's Song","Emiliana Torrini"
"Married Life","Michael Giacchino"
"Will And Elizabeth","Klaus Badelt"
"The Council of Elrond (feat. ""Aniron"") [Theme for Aragorn and Arwen]","Howard Shore"
"Barbossa Is Hungry","Klaus Badelt"
"The Promise","Michael Nyman"
"Flying","James Newton Howard"
"The bioluminescence of the night","James Horner"
"The Dragon Boy","Joe Hisaishi"
"To Aslan's Camp","Harry Gregson-Williams"
"I'm Not a Hero","Hans Zimmer"
"The Caverns of Isengard","Howard Shore"
"The Ride of the Rohirrim","Howard Shore"
"Double Trouble","John Williams"
"Blade Runner Blues","Vangelis"
"Fog Bound","Klaus Badelt"
