pack,tier,artist,title,from_movie_show,explicit,plays_in_game,deezer_id,verdict_keep_or_cut,notes
"2000's Mega Hits","Free","Destiny's Child","Independent Women, Pt. 1 (Pasadena Remix)","","","yes","833204","",""
"2000's Mega Hits","Free","Destiny's Child","Jumpin', Jumpin'","","","yes","580931","",""
"2000's Mega Hits","Free","Destiny's Child","Say My Name","","","yes","580936","",""
"2000's Mega Hits","Free","Destiny's Child","Soldier (Radio Edit)","","","yes","15413324","",""
"2000's Mega Hits","Free","Destiny's Child","Survivor","","","yes","1008337","",""
"2000's Mega Hits","Free","Diddy","Come To Me (feat. Nicole Scherzinger)","","","yes","3878453","",""
"2000's Mega Hits","Free","Diddy","I Need a Girl (Pt. 2) [feat. Loon, Ginuwine, Mario Winans]","","","yes","2794597","",""
"2000's Mega Hits","Free","Diddy","Last Night (feat. Keyshia Cole) (Radio Edit)","","","yes","5094636","",""
"2000's Mega Hits","Free","Dido","Here With Me","","","yes","962165","",""
"2000's Mega Hits","Free","Dido","Life for Rent","","","yes","2654328","",""
"2000's Mega Hits","Free","Dido","Thank You","","","yes","962173","",""
"2000's Mega Hits","Free","Dido","White Flag","","","yes","2654326","",""
"2000's Mega Hits","Free","Die Fantastischen Vier","Einfach Sein","","","yes","551958","",""
"2000's Mega Hits","Free","Die Toten Hosen","Nur zu Besuch","","","yes","142393491","",""
"2000's Mega Hits","Free","Dirty Vegas","Days Go By (Radio Edit)","","","yes","3441327","",""
"2000's Mega Hits","Free","Dizzee Rascal","Bonkers","","","yes","15640851","",""
"2000's Mega Hits","Free","DJ Bobo","What a Feeling","","","yes","917796222","",""
"2000's Mega Hits","Free","DJ Sammy","Heaven","","","yes","88911095","",""
"2000's Mega Hits","Free","Dr. Dre","The Next Episode","","YES","no - explicit","1579481","",""
"2000's Mega Hits","Free","Dr. Motte & Westbam Present","One World One Love Parade (Short)","","","yes","61707276","",""
"2000's Mega Hits","Free","Dragonette","Take It Like A Man","","","yes","1141730","",""
"2000's Mega Hits","Free","Drake","Best I Ever Had","","YES","no - explicit","6297757","",""
"2000's Mega Hits","Free","Drake","Forever (Album Version Explicit)","","YES","no - explicit","5060528","",""
"2000's Mega Hits","Free","Duffy","Mercy","","","yes","980106","",""
"2000's Mega Hits","Free","Duffy","Warwick Avenue","","","yes","530295731","",""
"2000's Mega Hits","Free","Edward Sharpe & The Magnetic Zeros","Home (2019 - Remaster)","","","yes","745172452","",""
"2000's Mega Hits","Free","Elton John","This Train Don't Stop There Anymore","","","yes","2495484","",""
"2000's Mega Hits","Free","Elvis Presley","A Little Less Conversation (JXL Radio Edit Remix)","","","yes","636220","",""
"2000's Mega Hits","Free","Emiliana Torrini","Jungle Drum","","","yes","2802894","",""
"2000's Mega Hits","Free","Eminem","Cleanin' Out My Closet","","YES","no - explicit","916414","",""
"2000's Mega Hits","Free","Eminem","Lose Yourself","","YES","no - explicit","1109731","",""
"2000's Mega Hits","Free","Eminem","Stan","","YES","no - explicit","1109730","",""
"2000's Mega Hits","Free","Eminem","The Real Slim Shady","","YES","no - explicit","1109737","",""
"2000's Mega Hits","Free","Eminem","Till I Collapse","","YES","no - explicit","916445","",""
"2000's Mega Hits","Free","Eminem","We Made You","","","yes","86332785","",""
"2000's Mega Hits","Free","Eminem","Without Me","","YES","no - explicit","916424","",""
"2000's Mega Hits","Free","Emma Bunton","What Took You So Long?","","","yes","3088626","",""
"2000's Mega Hits","Free","Empire Of The Sun","Walking On A Dream","","","yes","4286051","",""
"2000's Mega Hits","Free","Empire Of The Sun","We Are The People","","","yes","4286053","",""
"2000's Mega Hits","Free","Enrique Iglesias","Be With You","","","yes","2279344","",""
"2000's Mega Hits","Free","Enrique Iglesias","Escape","","","yes","2604915","",""
"2000's Mega Hits","Free","Enrique Iglesias","Not In Love (Radio Mix)","","","yes","2447998","",""
"2000's Mega Hits","Free","Enya","May It Be","","","yes","14628832","",""
"2000's Mega Hits","Free","Eric Prydz","Call On Me (Radio Edit)","","","yes","2739742","",""
"2000's Mega Hits","Free","Eric Prydz","Pjanoo (Radio Edit)","","","yes","144535404","",""
