OriginalTitle,OriginalArtist,OriginalDeezerId,AlternativeTitle,AlternativeArtist,AlternativeDeezerId
"Once in a Lifetime (2003 Remaster)","Talking Heads","3158210","Once in a Lifetime (2003 Remaster)","Talking Heads","747579"
"My Prerogative","Bobby Brown","1087366","My Prerogative","Bobby Brown","921945582"
"Turn Me Loose","Loverboy","1025465","Turn Me Loose","Loverboy","13166337"
"I'm Coming Out","Diana Ross","1183793","I'm Coming Out","Diana Ross","4677575"
"Paradise","Sade","15624920","Paradise","Sade","1030652012"
"Axel F (From ""Beverly Hills Cop"")","Harold Faltermeyer","17933254","Axel F (From ""Beverly Hills Cop"" Soundtrack)","Harold Faltermeyer","906594"
"Don't You (Forget About Me)","Simple Minds","3235453","Don't You (Forget About Me)","Simple Minds","5079647"
"Addicted To Love","Robert Palmer","1176177","Addicted To Love","Robert Palmer","2461767"
"Listen To Your Heart","Roxette","4225613","Listen To Your Heart","Roxette","1663983562"
"I Knew You Were Waiting (For Me)","George Michael","564874","I Knew You Were Waiting (For Me)","George Michael","142787302"
"Kids In America","Kim Wilde","3147928","Kids In America","Kim Wilde","2891799832"
"Sirius","The Alan Parsons Project","567679","Sirius","The Alan Parsons Project","328213561"
"Englishman In New York","Sting","922102","Englishman In New York","Sting","2525863"
"House Of Fun","Madness","8163842","House Of Fun","Madness","3450179701"
"Free Fallin'","Tom Petty","881279","Free Fallin'","Tom Petty","2303727"
"Johnny Come Home","Fine Young Cannibals","756285","Johnny Come Home","Fine Young Cannibals","428805102"
"Kiss of Life","Sade","15624928","Kiss of Life","Sade","1030652052"
"Eyes Without A Face (Remastered 1999)","Billy Idol","3140136","Eyes Without A Face (Remastered 1999)","Billy Idol","2983695851"
"Lessons In Love","Level 42","932556","Lessons In Love","Level 42","92871830"
"These Dreams","Heart","86100963","These Dreams","Heart","365822521"
"Ghostbusters","Ray Parker Jr.","87172419","Ghostbusters (from the ""Ghostbusters"" Original Motion Picture Soundtrack)","Ray Parker Jr.","969252"
"Saving All My Love for You","Whitney Houston","970426","Saving All My Love for You","Whitney Houston","1131191"
"When Smokey Sings","ABC","17976544","When Smokey Sings","ABC","1174011"
"Heat Of The Moment","Asia","2301351","Heat Of The Moment","Asia","552379902"
"Safety Dance","Men Without Hats","85270118","Safety Dance (Live Extended Mix)","Men Without Hats","3195517971"
"Knock on Wood","Amii Stewart","118031258","Knock On Wood","Amii Stewart","10370275"
"True Faith","New Order","-2656381102","True Faith","New Order","1069047782"
"Manic Monday","The Bangles","-2656326102","Manic Monday","The Bangles","608749"
