DeezerId,Title,Artist,Album,Source
"366440301","I Still Haven't Found What I'm Looking For","U2","The Joshua Tree (Super Deluxe)",""
"2176852","Rehab","Amy Winehouse","Back To Black",""
"97098410","Jump (2015 Remaster)","Van Halen","1984 (Remastered)",""
"3121749","Call Me","Blondie","Call Me",""
"620264642","It Wasn't Me","Shaggy","Hot Shot",""
"3803020582","I’m Yours (Deluxe Version)","Jason Mraz","Look For The Good (Deluxe Edition)",""
"116914122","Comfortably Numb","Pink Floyd","The Wall",""
"82697686","Take Me Home, Country Roads (Original Version)","John Denver","Poems, Prayers and Promises",""
"2271563","Fast Car","Tracy Chapman","Tracy Chapman",""
"3151232","It Ain't Over 'Til It's Over","Lenny Kravitz","Mama Said",""
"1025659","Uptown Girl","Billy Joel","An Innocent Man",""
"884030","Mamma Mia","ABBA","ABBA Gold",""
"1581601","I'm Not In Love","10cc","The Original Soundtrack",""
"15586246","Dancing In the Dark","Bruce Springsteen","Born In The U.S.A.",""
"962173","Thank You","Dido","No Angel",""
"3167611","Red Red Wine","UB40","The Very Best Of",""
"427638172","Holiday","Green Day","Greatest Hits: God's Favorite Band",""
"2930817891","Bye Bye Bye","*NSYNC","Bye Bye Bye",""
"884040","Voulez-Vous","ABBA","ABBA Gold",""
"698260","Big in Japan","Alphaville","Forever Young",""
"831294","Two Princes","Spin Doctors","Just Go Ahead Now: A Retrospective",""
"15586213","Born in the U.S.A.","Bruce Springsteen","Born In The U.S.A.",""
"884033","Super Trouper","ABBA","ABBA Gold",""
"409670382","Friday I'm in Love","The Cure","Greatest Hits",""
"917931","All Night Long (All Night)","Lionel Richie","Gold",""
"11118881","We Are The World","U.S.A. for Africa","We Are The World",""
"3130430","Ordinary World","Duran Duran","Greatest",""
"3068073","The Climb","Miley Cyrus","Hannah Montana The Movie",""
"725837","Give It Away","Red Hot Chili Peppers","Blood Sugar Sex Magik (Deluxe Edition)",""
"2511224","Kryptonite","3 Doors Down","The Better Life",""
"851867","Sexual Healing","Marvin Gaye","Midnight Love",""
"2172900","Here Without You","3 Doors Down","Away From The Sun",""
"714269242","All By Myself","Céline Dion","Falling into You",""
"858371","The Final Countdown","Europe","The Final Countdown (Expanded Edition)",""
"725965","The Zephyr Song","Red Hot Chili Peppers","By the Way (Deluxe Edition)",""
"924937","Bubbly","Colbie Caillat","Coco",""
"730428","Kiss from a Rose","Seal","Best 1991 - 2004",""
"2503284","Give A Little Bit","Supertramp","The Very Best Of Supertramp",""
"1057312","Runaway Train (2022 Remaster)","Soul Asylum","Grave Dancers Union (2022 Remaster)",""
"2307303","Dragula","Rob Zombie","Hellbilly Deluxe",""
"110479784","Baby Jane","Rod Stewart","Storyteller - The Complete Anthology: 1964 - 1990",""
"884028","Take A Chance On Me","ABBA","ABBA Gold",""
"409670302","In Between Days","The Cure","Greatest Hits",""
"122015000","One More Night (2016 Remaster)","Phil Collins","No Jacket Required (2016 Remaster)",""
"74628075","Runaway","Bon Jovi","Bon Jovi",""
"13145315","Making Love Out of Nothing at All","Air Supply","Ultimate Air Supply",""
"69962765","Rock the Casbah (Remastered)","The Clash","Combat Rock (Remastered)",""
"675818","I Want to Know What Love Is (1999 Remaster)","Foreigner","Agent Provocateur",""
"82487070","I'll Be Missing You (feat. Faith Evans & 112) (2014 Remaster)","Diddy","No Way Out (2014 Remaster)",""
"3092940","Don't You Want Me","The Human League","Dare!",""
"3167295","The Best (Edit)","Tina Turner","Simply the Best",""
"3119484","Put Your Records On","Corinne Bailey Rae","Corinne Bailey Rae",""
"2525873","Desert Rose","Sting","The Very Best Of Sting And The Police",""
"3803020592","Lucky","Jason Mraz","Look For The Good (Deluxe Edition)",""
"776220","Ain't Nobody","Chaka Khan","Epiphany: The Best of Chaka Khan, Vol. 1",""
"596034702","Superstition","Stevie Wonder","Number 1's",""
"555643","P.Y.T. (Pretty Young Thing)","Michael Jackson","Thriller 25 Super Deluxe Edition",""
"830196","I Can See Clearly Now","Jimmy Cliff","We All Are One: The Best Of Jimmy Cliff",""
"10769094","I Will Survive (1981 Re-recording)","Gloria Gaynor","I Will Survive",""
"7675332","Last Kiss","Pearl Jam","Lost Dogs",""
"577487252","It's My Life","Bon Jovi","Bon Jovi Greatest Hits - The Ultimate Collection (Deluxe)",""
"1079628","Rosanna","Toto","Toto IV",""
"846327","We Are Family (1995 Remaster)","Sister Sledge","The Best of Sister Sledge (1973-1985)",""
"620264672","Angel","Shaggy","Hot Shot",""
"3248376","My Sharona","The Knack","Get The Knack",""
"726810","Conquest of Paradise","Vangelis","1492: Conquest of Paradise",""
"1412033722","La valse d'Amélie","Yann Tiersen","Le Fabuleux destin d'Amélie Poulain (Bande originale du film)",""
"922014","All I Wanna Do","Sheryl Crow","Tuesday Night Music Club",""
"911496","Thnks fr th Mmrs","Fall Out Boy","Infinity On High",""
"3087241","21 Guns","Green Day","21st Century Breakdown",""
"14618872","Just like Heaven (2006 Remaster)","The Cure","Kiss Me Kiss Me Kiss Me",""
"3156760","Bitch","Meredith Brooks","Blurring The Edges",""
"1169676","Live And Let Die","Guns N' Roses","Use Your Illusion I",""
"992131","Torn","Natalie Imbruglia","Left Of The Middle",""
"13145305","All Out of Love","Air Supply","Ultimate Air Supply",""
"15707218","Always on My Mind (2003 Remaster)","Pet Shop Boys","PopArt: The Hits",""
"1120335972","One Summer Day","Joe Hisaishi","Spirited Away Soundtrack",""
"3583337","Arrival to Earth","Steve Jablonsky","Transformers: The Score",""
"1487544412","Naruto Main Theme","Musashi Project","NARUTO ORIGINAL SOUNDTRACK",""
"483262832","Prologue: One Ring to Rule Them All","Howard Shore","The Lord of the Rings: The Fellowship of the Ring - the Complete Recordings",""
"904642432","Theme from Love Story","Francis Lai","Love in the Rain",""
"65699052","The Promise","Michael Nyman","Grandes Éxitos Del Cine De Siempre",""
"4828155","The bioluminescence of the night","James Horner","AVATAR Music From The Motion Picture Music Composed and Conducted by James Horner",""
"1120336012","The Dragon Boy","Joe Hisaishi","Spirited Away Soundtrack",""
"483262982","The Caverns of Isengard","Howard Shore","The Lord of the Rings: The Fellowship of the Ring - the Complete Recordings",""
"526907762","Edoras","Howard Shore","The Lord of the Rings: The Two Towers - the Complete Recordings",""
"3818932","Infinite White","Steve Jablonsky","Transformers: Revenge Of The Fallen - The Score",""
"724941","Dueling Banjos","Eric Weissberg","Dueling Banjos From The Original Sound Track Of Deliverance And Additional Music",""
"3583328","The All Spark","Steve Jablonsky","Transformers: The Score",""
"4273198","Brooks Was Here","Thomas Newman","The Shawshank Redemption",""
"483263142","The Fighting Uruk-hai","Howard Shore","The Lord of the Rings: The Fellowship of the Ring - the Complete Recordings",""
"1097352","Introduction (Titles)","Danny Elfman","Edward Scissorhands",""
"4273195","Shawshank Prison (Stoic Theme)","Thomas Newman","The Shawshank Redemption",""
"3116046","The Power Of Love","Huey Lewis & The News","Greatest Hits: Huey Lewis And The News",""
"144469622","Xanadu feat Olivia Newton-John","Electric Light Orchestra","The Best Of ELO",""
"3121967","Hip To Be Square","Huey Lewis & The News","Fore!",""
"1763221747","Ben","Trevor Rabin","National Treasure",""
"7423150","Now We Are Free (Maximus Mix)","Gavin Greenaway","More Music From The Motion Picture ""Gladiator""",""
"569561","Maneater","Daryl Hall & John Oates","The Essential Daryl Hall & John Oates",""
"2686140","I'm Yours","Jason Mraz","We Sing. We Dance. We Steal Things. (Bonus Tracks Version)",""
"2237439","Buffalo Soldier","Bob Marley & The Wailers","Confrontation",""
"774798532","Inbetween Days (Live)","The Cure","Anniversary: 1978 - 2018 Live In Hyde Park London (Live)",""
"4677851","Stir It Up","Bob Marley & The Wailers","Catch A Fire",""
"546004","You Make My Dreams (Come True)","Daryl Hall & John Oates","Voices",""
"15275788","The Sound of Silence (Electric Version)","Simon & Garfunkel","Sounds Of Silence",""
