OriginalTitle,OriginalArtist,OriginalDeezerId,OriginalRank,AlternativeTitle,AlternativeArtist,AlternativeAlbum,AlternativeDeezerId,AlternativeRank,AlternativeDurationSec,DeezerTrackUrl,AlternativePreviewUrl,ConfidenceNote
"Santeria","Sublime","917799","22010","Santeria","Sublime","Sublime","127245051","733983","183","https://www.deezer.com/us/track/127245051","https://cdnt-preview.dzcdn.net/api/1/1/1/8/0/0/1802488f1d40a4998904222e7ed5d3ac.mp3?hdnea=exp=1781058093~acl=/api/1/1/1/8/0/0/1802488f1d40a4998904222e7ed5d3ac.mp3*~data=user_id=0,application_id=42~hmac=75925161196c0cd505123f5d80286a6761cf6a7e8677f50091909ad0afea23cc","Exact title match"
"Are You That Somebody","Aaliyah","1471048742","21850","Are You That Somebody?","Aaliyah","I Care 4 U","3380594201","598827","265","https://www.deezer.com/us/track/3380594201","https://cdnt-preview.dzcdn.net/api/1/1/e/1/b/0/e1b5a55a80bc3e43619d158880371264.mp3?hdnea=exp=1781058093~acl=/api/1/1/e/1/b/0/e1b5a55a80bc3e43619d158880371264.mp3*~data=user_id=0,application_id=42~hmac=28000e7e6f1d093445dc411bfc8e2ce902aad3237bd3c12192860f036bc5941c","Exact title match"
"Porcelain","Moby","74894802","21755","Porcelain (Reprise Version)","Moby","Reprise","1379126302","312817","353","https://www.deezer.com/us/track/1379126302","https://cdnt-preview.dzcdn.net/api/1/1/9/2/2/0/92276b9f0447b8af6a0888b502e387f5.mp3?hdnea=exp=1781058094~acl=/api/1/1/9/2/2/0/92276b9f0447b8af6a0888b502e387f5.mp3*~data=user_id=0,application_id=42~hmac=1f3113dbf54a5d55449e876f28f7e92396ee238876c5f855810084429eb357d9","Exact title match"
"Fly","Sugar Ray","756280","21430","Fly","Sugar Ray","Floored","6586787","589460","244","https://www.deezer.com/us/track/6586787","https://cdnt-preview.dzcdn.net/api/1/1/4/5/1/0/4517e6ce16772bad855fb81034f66bdc.mp3?hdnea=exp=1781058094~acl=/api/1/1/4/5/1/0/4517e6ce16772bad855fb81034f66bdc.mp3*~data=user_id=0,application_id=42~hmac=802925caf5004ec08825784da7535982bd23b7d7b51a6dcf01b9c8d01ab2db42","Exact title match"
"The King of Wishful Thinking","Go West","130201450","21210","The King of Wishful Thinking","Go West","Indian Summer","1787666357","505471","241","https://www.deezer.com/us/track/1787666357","https://cdnt-preview.dzcdn.net/api/1/1/c/0/8/0/c088a304a579dde17da3c8c7fd685792.mp3?hdnea=exp=1781058094~acl=/api/1/1/c/0/8/0/c088a304a579dde17da3c8c7fd685792.mp3*~data=user_id=0,application_id=42~hmac=5a7b658cc9cb3705a6cd21b3c04984ad08f196baf478fa59064e4ceeb60226b8","Exact title match"
"Good","Better Than Ezra","748936","21127","Good","Better Than Ezra","Deluxe","5271867","404392","185","https://www.deezer.com/us/track/5271867","https://cdnt-preview.dzcdn.net/api/1/1/7/f/f/0/7ff4652c003ba560324ef7b30cde94ce.mp3?hdnea=exp=1781058095~acl=/api/1/1/7/f/f/0/7ff4652c003ba560324ef7b30cde94ce.mp3*~data=user_id=0,application_id=42~hmac=3944dcf339a5a00f2bec0ff04e93b4e7404028637cfac7bffa344b1c52b412be","Exact title match"
"Amphetamine","Everclear","3457932","20874","Amphetamine","Everclear","So Much For The Afterglow","142750412","205486","215","https://www.deezer.com/us/track/142750412","https://cdnt-preview.dzcdn.net/api/1/1/9/8/a/0/98afe6528d0a41e73a4939186209f3bd.mp3?hdnea=exp=1781058095~acl=/api/1/1/9/8/a/0/98afe6528d0a41e73a4939186209f3bd.mp3*~data=user_id=0,application_id=42~hmac=5dd8ee8b36aeea7565195c2f726b2c20b38766cc278bada5ab2f7b56f1274d0c","Exact title match"
"I'll Be","Edwin McCain","749330","20750","I'll Be","Edwin McCain","Misguided Roses","6462599","386186","266","https://www.deezer.com/us/track/6462599","https://cdnt-preview.dzcdn.net/api/1/1/6/f/b/0/6fb7927178229838fafa1aa983e61c57.mp3?hdnea=exp=1781058095~acl=/api/1/1/6/f/b/0/6fb7927178229838fafa1aa983e61c57.mp3*~data=user_id=0,application_id=42~hmac=8684707fa919029b387c453fabb36dec61e357a31214cf79d12e1301b30ee7ce","Exact title match"
"There She Goes","The La's","906824","18532","There She Goes","The La's","The La's","2518361","679183","162","https://www.deezer.com/us/track/2518361","https://cdnt-preview.dzcdn.net/api/1/1/5/e/c/0/5ecadaac90c7a3e8d8925bad2a76cb71.mp3?hdnea=exp=1781058095~acl=/api/1/1/5/e/c/0/5ecadaac90c7a3e8d8925bad2a76cb71.mp3*~data=user_id=0,application_id=42~hmac=1673c206a9cb5c67d664101cbfe05e53ef7ec179177a3ceacc50fde3420d143d","Exact title match"
"All For You (Album Version)","Sister Hazel","15985953","18495","","","","","","","","","NO ALTERNATIVE — keep cut"
"Better Off Alone","Alice Deejay","397348692","18188","","","","","","","","","NO ALTERNATIVE — keep cut"
"Crush","Jennifer Paige","65656392","18034","Crush","Jennifer Paige","Crush - The Best of Jennifer Paige","67576433","381033","200","https://www.deezer.com/us/track/67576433","https://cdnt-preview.dzcdn.net/api/1/1/7/2/6/0/726ce85c435e8264b0f8eb6e3901ecf0.mp3?hdnea=exp=1781058096~acl=/api/1/1/7/2/6/0/726ce85c435e8264b0f8eb6e3901ecf0.mp3*~data=user_id=0,application_id=42~hmac=bffb51449534c3fe0c9a6e4d3e04dd2927f69115686fb0ee80ff3b6a71d3ee72","Exact title match"
"Killing Me Softly With His Song","Fugees","1024973","17998","","","","","","","","","NO ALTERNATIVE — keep cut"
"Shine","Collective Soul","4735504","17745","Shine","Collective Soul","Hints, Allegations & Things Left Unsaid","1444387612","619446","306","https://www.deezer.com/us/track/1444387612","https://cdnt-preview.dzcdn.net/api/1/1/9/6/0/0/960e8c5feac39533bd2ddc169eb9fea9.mp3?hdnea=exp=1781058097~acl=/api/1/1/9/6/0/0/960e8c5feac39533bd2ddc169eb9fea9.mp3*~data=user_id=0,application_id=42~hmac=04a7f3f5ecc8a2fa0457fadc0055c85e304297b236af8859955a00ef0347c1dd","Exact title match"
"From This Moment On","Shania Twain","7442356","17702","From This Moment On","Shania Twain","Come On Over (International Version)","731732312","605570","283","https://www.deezer.com/us/track/731732312","https://cdnt-preview.dzcdn.net/api/1/1/b/b/7/0/bb701db746f52205d03e5fe448118f43.mp3?hdnea=exp=1781058097~acl=/api/1/1/b/b/7/0/bb701db746f52205d03e5fe448118f43.mp3*~data=user_id=0,application_id=42~hmac=30183d8fa13516b018a962e50430890edd9ee438f139a356d7d11cfec68ad9db","Exact title match"
"He Wasn't Man Enough","Toni Braxton","567649","17209","He Wasn't Man Enough (Radio Edit)","Toni Braxton","Ultimate Toni Braxton","15392662","270650","240","https://www.deezer.com/us/track/15392662","https://cdnt-preview.dzcdn.net/api/1/1/4/8/c/0/48c44e8862ce4b04d259f7757cffe5cd.mp3?hdnea=exp=1781058097~acl=/api/1/1/4/8/c/0/48c44e8862ce4b04d259f7757cffe5cd.mp3*~data=user_id=0,application_id=42~hmac=81f464be94d840bed93f39b486727cd5632da2e66594e117f64c6ae9b32d8eb3","Exact title match"
