Title,Artist,DeezerId,Rank,CutReason,CutStage
"Eye of the Tiger","Survivor","651355112","2486","No preview URL","Hard cut"
"Eyes Without A Face (Remastered 1999)","Billy Idol","3140136","1623","No preview URL","Hard cut"
"Footloose","Kenny Loggins","88329297","18003","No preview URL","Hard cut"
"Free Fallin'","Tom Petty","881279","1996","No preview URL","Hard cut"
"Freedom in Your Eyes","Retrofile","1048436772","13268","No preview URL","Hard cut"
"Get Down On It","Kool & The Gang","1108303","20564","No preview URL","Hard cut"
"Get Outta My Dreams, Get Into My Car","Billy Ocean","4253536","26190","No preview URL","Hard cut"
"Ghostbusters","Ray Parker Jr.","87172419","928","No preview URL","Hard cut"
"Gimme All Your Lovin'","ZZ Top","2133998","21745","No preview URL","Hard cut"
"Going Underground","The Jam","1178034","1615","No preview URL","Hard cut"
"Good Thing","Fine Young Cannibals","5094594","11486","No preview URL","Hard cut"
"Got to Be Certain","Kylie Minogue","137205110","21970","No preview URL","Hard cut"
"Gypsy (2016 Remaster)","Fleetwood Mac","133064282","414864","Near duplicate (different version, kept higher-rank copy)","Hard cut"
"Harden My Heart","Quarterflash","97690914","21292","No preview URL","Hard cut"
"Heard It All Before","Retrofile","754509962","4880","No preview URL","Hard cut"
"Heat Of The Moment","Asia","2301351","675","No preview URL","Hard cut"
"Heaven Is A Place On Earth","Belinda Carlisle","67539452","15805","No preview URL","Hard cut"
"Heaven Is A Place On Earth (Promo 7"" Edit)","Belinda Carlisle","101663221","26444","No preview URL","Hard cut"
"Here I Go Again (1987 Version; 2017 Remaster)","Whitesnake","411553122","22749","No preview URL","Hard cut"
"Higher Love (Full Album Version)","Steve Winwood","2172103","22192","No preview URL","Hard cut"
"House Of Fun","Madness","8163842","1998","No preview URL","Hard cut"
"Hungry Eyes (From ""Dirty Dancing"" Soundtrack)","Eric Carmen","1043544","698831","Near duplicate (different version, kept higher-rank copy)","Hard cut"
"Hungry Like The Wolf (2001 Remastered Version)","Duran Duran","3153334","13702","No preview URL","Hard cut"
"I Can Dream About You","Dan Hartman","893027","15579","No preview URL","Hard cut"
"I Hate Myself for Loving You","Joan Jett and the Blackhearts","555257552","9001","No preview URL","Hard cut"
"I Knew You Were Waiting (For Me)","George Michael","564874","2757","No preview URL","Hard cut"
"I Love Rock 'N Roll","Joan Jett and the Blackhearts","545992732","22482","No preview URL","Hard cut"
"I Remember You","Skid Row","3821880","10353","No preview URL","Hard cut"
"I Wanna Dance with Somebody (Single Version)","Whitney Houston","615819","17771","No preview URL","Hard cut"
"I Won't Back Down","Tom Petty","2204077","6186","No preview URL","Hard cut"
"I'm Coming Out","Diana Ross","1183793","3787","No preview URL","Hard cut"
"Into the Groove","Madonna","4209638","11576","No preview URL","Hard cut"
"Invisible Touch (Remastered 2007)","Genesis","3145739","15789","No preview URL","Hard cut"
"Is This Love (2018 Remaster)","Whitesnake","576902422","22120","No preview URL","Hard cut"
"It Must Be Love","Madness","143062020","7736","No preview URL","Hard cut"
"It's the End of the World As We Know It (And I Feel Fine)","R.E.M.","3128067","10922","No preview URL","Hard cut"
"Jack & Diane (Album Version)","John Mellencamp","1568074","2396","No preview URL","Hard cut"
"Jessie's Girl","Rick Springfield","580060","24163","No preview URL","Hard cut"
"Johnny Come Home","Fine Young Cannibals","756285","1796","No preview URL","Hard cut"
"Just like Heaven","The Cure","14611554","295648","Near duplicate (different version, kept higher-rank copy)","Hard cut"
"Kids In America","Kim Wilde","3147928","2756","No preview URL","Hard cut"
"Kiss of Life","Sade","15624928","1696","No preview URL","Hard cut"
"Knock on Wood","Amii Stewart","118031258","17","No preview URL","Hard cut"
"Kung Fu Fighting","Carl Douglas","131285694","8961","No preview URL","Hard cut"
"Leave a Light On","Belinda Carlisle","70029352","7751","No preview URL","Hard cut"
"Lessons In Love","Level 42","932556","1186","No preview URL","Hard cut"
"Let's Dance (1999 Remaster)","David Bowie","3103847","21835","No preview URL","Hard cut"
"Let's Go Crazy","Prince","4858202","325960","Near duplicate (different version, kept higher-rank copy)","Hard cut"
"Like a Prayer","Madonna","4217498","11587","No preview URL","Hard cut"
"Listen To Your Heart","Roxette","4225613","2760","No preview URL","Hard cut"
"Little Lies (Remastered)","Fleetwood Mac","145432522","17096","No preview URL","Hard cut"
"Living On The Ceiling","Blancmange","13526387","3838","No preview URL","Hard cut"
"Losing Sleep","Retrofile","754509952","7873","No preview URL","Hard cut"
"Lost In Sound","Retrofile","2437823925","21656","No preview URL","Hard cut"
"Love Is A Battlefield","Pat Benatar","3105189","295923","Near duplicate (different version, kept higher-rank copy)","Hard cut"
"Love Shack","The B-52's","78366182","25900","No preview URL","Hard cut"
"Love T.K.O.","Teddy Pendergrass","70226220","3087","No preview URL","Hard cut"
"Maniac","Michael Sembello","2282841","10153","No preview URL","Hard cut"
"Manic Monday","The Bangles","-2656326102","0","No preview URL","Hard cut"
"Material Girl","Madonna","4209658","9195","No preview URL","Hard cut"
"My Prerogative","Bobby Brown","1087366","5422","No preview URL","Hard cut"
"Need You Tonight","INXS","14636760","295129","Near duplicate (different version, kept higher-rank copy)","Hard cut"
"Never Gonna Give You Up","Rick Astley","600629","21674","No preview URL","Hard cut"
"New Sensation","INXS","60713229","320933","Near duplicate (different version, kept higher-rank copy)","Hard cut"
"Oh Sherrie","Steve Perry","87935943","15978","No preview URL","Hard cut"
"On The Wings Of Love","Jeffrey Osborne","2327260","22150","No preview URL","Hard cut"
"Once in a Lifetime (2003 Remaster)","Talking Heads","3158210","6108","No preview URL","Hard cut"
"Only You","Yaz","14659902","21027","No preview URL","Hard cut"
"Orinoco Flow (2009 Remaster)","Enya","14685717","416457","Near duplicate (different version, kept higher-rank copy)","Hard cut"
"Our House","Madness","8253529","15494","No preview URL","Hard cut"
"Our Lips Are Sealed (Single Version)","The Go-Go's","-2656405662","219394","No preview URL","Hard cut"
"Paradise","Sade","15624920","3380","No preview URL","Hard cut"
"Paradise City","Guns N' Roses","882259","15755","No preview URL","Hard cut"
"Peace of Mind (Extended Dance Mix)","Retrofile","975301542","1457","No preview URL","Hard cut"
"Poster Child","Retrofile","393943972","26710","No preview URL","Hard cut"
"Pour Some Sugar On Me (Remastered 2017)","Def Leppard","447558052","421111","Near duplicate (different version, kept higher-rank copy)","Hard cut"
"Pump Up The Jam (Edit)","Technotronic","16652776","637271","Near duplicate (different version, kept higher-rank copy)","Hard cut"
"Pump Up The Volume (7"")","M/A/R/R/S","939862","2429","No preview URL","Hard cut"
"Purple Rain","Prince","2794654","7900","No preview URL","Hard cut"
"Rebel Yell","Billy Idol","13569185","10038","No preview URL","Hard cut"
"Relax","Frankie Goes To Hollywood","11011566","8826","No preview URL","Hard cut"
"Respectable","Mel & Kim","367289501","3074","No preview URL","Hard cut"
"Road to Nowhere (2005 Remaster)","Talking Heads","-2648428262","62898","No preview URL","Hard cut"
"Romanticism","Retrofile","567860292","10280","No preview URL","Hard cut"
"Run To You","Bryan Adams","2499253","9741","No preview URL","Hard cut"
"Running","Retrofile","754509982","21990","No preview URL","Hard cut"
"Running Up That Hill (A Deal With God)","Kate Bush","11221319","25149","No preview URL","Hard cut"
"Running Up That Hill (A Deal With God) (2018 Remaster)","Kate Bush","666190862","10084","No preview URL","Hard cut"
"Safety Dance","Men Without Hats","85270118","17","No preview URL","Hard cut"
"Saving All My Love for You","Whitney Houston","970426","869","No preview URL","Hard cut"
"Separate Ways (Worlds Apart)","Journey","534670","21539","No preview URL","Hard cut"
"Shattered Dreams","Johnny Hates Jazz","3159361","10584","No preview URL","Hard cut"
"Shout","Tears For Fears","7340211","10763","No preview URL","Hard cut"
"Sirius","The Alan Parsons Project","567679","2486","No preview URL","Hard cut"
"Smooth Operator (Single Version)","Sade","858207","25031","No preview URL","Hard cut"
"Something About You","Level 42","86734877","10031","No preview URL","Hard cut"
"Sometimes","Erasure","68926233","8782","No preview URL","Hard cut"
"Somewhere in My Heart","Aztec Camera","83873795","521","No preview URL","Hard cut"
"Sowing The Seeds Of Love","Tears For Fears","984565","22318","No preview URL","Hard cut"
"Steppin' Out","Joe Jackson","1095830","8850","No preview URL","Hard cut"
"Summer Of '69","Bryan Adams","2499247","17739","No preview URL","Hard cut"
"Sweet Child O' Mine","Guns N' Roses","882257","9009","No preview URL","Hard cut"
"Sweet Jane","Cowboy Junkies","13159772","22326","No preview URL","Hard cut"
"Teardrops","Womack & Womack","5975401","13730","No preview URL","Hard cut"
"Tempted","Squeeze","2289593","24850","No preview URL","Hard cut"
"The King of Wishful Thinking","Go West","130201450","21210","No preview URL","Hard cut"
"The Lady In Red","Chris De Burgh","522699602","10135","No preview URL","Hard cut"
"The Living Years","Mike + The Mechanics","140521373","8907","No preview URL","Hard cut"
"The Living Years","Mike + The Mechanics","85376046","11634","No preview URL","Hard cut"
"The Loco-Motion","Kylie Minogue","137232280","7938","No preview URL","Hard cut"
"The Power of Love","Frankie Goes To Hollywood","11011578","8804","No preview URL","Hard cut"
"The Reflex (Single Version; 2010 Remaster)","Duran Duran","5593864","245909","Near duplicate (different version, kept higher-rank copy)","Hard cut"
"The Whole Of The Moon","The Waterboys","3151400","27419","No preview URL","Hard cut"
"The Whole Of The Moon (2004 Remastered Version)","The Waterboys","3156298","6689","No preview URL","Hard cut"
"Theme from S-Express","S'Express","771284752","13310","No preview URL","Hard cut"
"These Dreams","Heart","86100963","1069","No preview URL","Hard cut"
"This Woman's Work (2018 Remaster)","Kate Bush","666263362","13757","No preview URL","Hard cut"
"Thriller (2003 Edit)","Michael Jackson","13129201","565737","Near duplicate (different version, kept higher-rank copy)","Hard cut"
"Time After Time","Cyndi Lauper","4097332","22003","No preview URL","Hard cut"
"Together In Electric Dreams (2003 Remastered Version)","Philip Oakey","3158770","21106","No preview URL","Hard cut"
"True","Spandau Ballet","3166637","370382","Near duplicate (different version, kept higher-rank copy)","Hard cut"
"True Faith","New Order","-2656381102","0","No preview URL","Hard cut"
"Turn Me Loose","Loverboy","1025465","4845","No preview URL","Hard cut"
"Two Words","Retrofile","363673261","10186","No preview URL","Hard cut"
"Vacation","The Go-Go's","17979668","26569","No preview URL","Hard cut"
"Valerie","Steve Winwood","18060921","25143","No preview URL","Hard cut"
"Venus","Bananarama","40084601","7302","No preview URL","Hard cut"
"Video Killed The Radio Star","The Buggles","6691974","10057","No preview URL","Hard cut"
"Vienna","Ultravox","3151512","21448","No preview URL","Hard cut"
"Waiting for a Star to Fall","Boy Meets Girl","542000","293876","Near duplicate (different version, kept higher-rank copy)","Hard cut"
"Walking On Sunshine (25th Anniversary) (2010 Remaster)","Katrina and the Waves","355296291","6930","No preview URL","Hard cut"
"We Close Our Eyes","Go West","3158241","21340","No preview URL","Hard cut"
"West End Girls (2001 Remaster)","Pet Shop Boys","7460096","506592","Near duplicate (different version, kept higher-rank copy)","Hard cut"
"West End Girls (2018 Remaster)","Pet Shop Boys","462775272","705918","Near duplicate (different version, kept higher-rank copy)","Hard cut"
"When Doves Cry","Prince","2794651","22026","No preview URL","Hard cut"
"When Smokey Sings","ABC","17976544","722","No preview URL","Hard cut"
"Where The Streets Have No Name (Remastered)","U2","912476","556001","Near duplicate (different version, kept higher-rank copy)","Hard cut"
"White Wedding (Pt. 1 / Remastered 2002)","Billy Idol","3102238","8980","No preview URL","Hard cut"
"Wicked Game","Chris Isaak","70548334","8828","No preview URL","Hard cut"
"With Or Without You","U2","1574131","274502","Near duplicate (different version, kept higher-rank copy)","Hard cut"
"Working for the Weekend","Loverboy","1025467","14672","No preview URL","Hard cut"
"Wouldn't It Be Good","Nik Kershaw","908430","19787","No preview URL","Hard cut"
"You Give Love A Bad Name","Bon Jovi","7332936","10325","No preview URL","Hard cut"
"You Keep Me Hangin On","Kim Wilde","74640929","6958","No preview URL","Hard cut"
"You Spin Me Round (Like a Record)","Dead Or Alive","610914","25271","No preview URL","Hard cut"
"You're The One That I Want (From ""Grease"" Original Motion Picture Soundtrack)","John Travolta","1143347","8864","No preview URL","Hard cut"
"Your Love","The Outfield","4253016","210260","Near duplicate (different version, kept higher-rank copy)","Hard cut"
"Your Love Is King","Sade","858203","11627","No preview URL","Hard cut"
