DeezerId,Title,Artist,Album,Source
"14628831","The Breaking of the Fellowship (feat. ""In Dreams"")","Howard Shore","The Lord of the Rings: The Fellowship of the Ring (Original Motion Picture Soundtrack)","The Lord of the Rings: The Fellowship of the Ring"
"65442205","A Gift Of A Thistle","James Horner","Braveheart (Original Motion Picture Soundtrack)","Braveheart"
"2436630","Mission Impossible - Main Theme","Danny Elfman","Mission Impossible (Music From The Original Motion Picture Score)","Mission Impossible"
"11233264","A Narnia Lullaby","Harry Gregson-Williams","The Chronicles of Narnia: The Lion, The Witch and The Wardrobe (Original Motion Picture Soundtrack)","The Chronicles of Narnia: The Lion, The Witch and The Wardrobe"
"2949927","Marianelli: Dawn (From ""Pride & Prejudice"" Soundtrack)","Jean-Yves Thibaudet","Pride and Prejudice - OST","Pride & Prejudice"
"24206321","The Black Pearl","Klaus Badelt","Pirates of the Caribbean: The Curse of the Black Pearl (Original Motion Picture Soundtrack)","Pirates of the Caribbean: The Curse of the Black Pearl"
"24206311","The Medallion Calls","Klaus Badelt","Pirates of the Caribbean: The Curse of the Black Pearl (Original Motion Picture Soundtrack)","Pirates of the Caribbean: The Curse of the Black Pearl"
"14628827","The Bridge of Khazad Dum","Howard Shore","The Lord of the Rings: The Fellowship of the Ring (Original Motion Picture Soundtrack)","The Lord of the Rings: The Fellowship of the Ring"
"783658","Gollum's Song","Emiliana Torrini","The Lord of the Rings: The Two Towers (Original Motion Picture Soundtrack)","The Lord of the Rings: The Two Towers"
"4232526","Married Life","Michael Giacchino","Up (Original Motion Picture Soundtrack)","Up"
"24206331","Will And Elizabeth","Klaus Badelt","Pirates of the Caribbean: The Curse of the Black Pearl (Original Motion Picture Soundtrack)","Pirates of the Caribbean: The Curse of the Black Pearl"
"14628824","The Council of Elrond (feat. ""Aniron"") [Theme for Aragorn and Arwen]","Howard Shore","The Lord of the Rings: The Fellowship of the Ring (Original Motion Picture Soundtrack)","The Lord of the Rings: The Fellowship of the Ring"
"24206361","Barbossa Is Hungry","Klaus Badelt","Pirates of the Caribbean: The Curse of the Black Pearl (Original Motion Picture Soundtrack)","Pirates of the Caribbean: The Curse of the Black Pearl"
"2055891047","Flying","James Newton Howard","Peter Pan (Original Motion Picture Soundtrack)","Peter Pan"
"11233268","To Aslan's Camp","Harry Gregson-Williams","The Chronicles of Narnia: The Lion, The Witch and The Wardrobe (Original Motion Picture Soundtrack)","The Chronicles of Narnia: The Lion, The Witch and The Wardrobe"
"904629","I'm Not a Hero","Hans Zimmer","The Dark Knight (Original Motion Picture Soundtrack)","The Dark Knight"
"678598","The Ride of the Rohirrim","Howard Shore","The Lord of the Rings: The Return of the King (Original Motion Picture Soundtrack)","The Lord of the Rings: The Return of the King"
"2794919","Double Trouble","John Williams","Harry Potter and the Prisoner of Azkaban / Original Motion Picture Soundtrack","Harry Potter and the Prisoner of Azkaban /"
"691099","Blade Runner Blues","Vangelis","Blade Runner (Music From The Original Soundtrack)","Blade Runner"
"24206301","Fog Bound","Klaus Badelt","Pirates of the Caribbean: The Curse of the Black Pearl (Original Motion Picture Soundtrack)","Pirates of the Caribbean: The Curse of the Black Pearl"
"647414792","Main Titles (Charlie and the Chocolate Factory)","Danny Elfman","Charlie And The Chocolate Factory (Original Motion Picture Soundtrack)","Charlie And The Chocolate Factory"
"679861","Professor Umbridge","Nicholas Hooper","Harry Potter And The Order Of The Phoenix (Original Motion Picture Soundtrack)","Harry Potter And The Order Of The Phoenix"
"904628","Why so Serious?","Hans Zimmer","The Dark Knight (Original Motion Picture Soundtrack)","The Dark Knight"
"24185291","Life's Incredible Again","Michael Giacchino","The Incredibles (Original Motion Picture Soundtrack)","The Incredibles"
"5167628","Ratatouille Main Theme","Michael Giacchino","Ratatouille (Original Motion Picture Soundtrack)","Ratatouille"
"4091767","A Watchful Guardian","Hans Zimmer","The Dark Knight (Collectors Edition) [Original Motion Picture Soundtrack]","The Dark Knight (Collectors Edition) ["
"71946981","West Side Story: Overture","West Side Story Orchestra","West Side Story (Original Motion Picture Soundtrack)","West Side Story"
"24206441","One Last Shot","Klaus Badelt","Pirates of the Caribbean: The Curse of the Black Pearl (Original Motion Picture Soundtrack)","Pirates of the Caribbean: The Curse of the Black Pearl"
"24206381","Moonlight Serenade","Klaus Badelt","Pirates of the Caribbean: The Curse of the Black Pearl (Original Motion Picture Soundtrack)","Pirates of the Caribbean: The Curse of the Black Pearl"
"783650","Samwise the Brave","Howard Shore","The Lord of the Rings: The Two Towers (Original Motion Picture Soundtrack)","The Lord of the Rings: The Two Towers"
"1105410342","Main Title (The Shining)","Wendy Carlos","The Shining (Selections from the Original Motion Picture Soundtrack)","The Shining (Selections from the"
"647312382","Main Title (Gone With the Wind)","Max Steiner","Gone With the Wind (Original Motion Picture Soundtrack)","Gone With the Wind"
"904639","Introduce a Little Anarchy","Hans Zimmer","The Dark Knight (Original Motion Picture Soundtrack)","The Dark Knight"
"904638","Agent of Chaos","Hans Zimmer","The Dark Knight (Original Motion Picture Soundtrack)","The Dark Knight"
"661880","Gilderoy Lockhart","John Williams","Harry Potter and The Chamber of Secrets/ Original Motion Picture Soundtrack","Harry Potter and The Chamber of Secrets/"
"679869","The Room of Requirements","Nicholas Hooper","Harry Potter And The Order Of The Phoenix (Original Motion Picture Soundtrack)","Harry Potter And The Order Of The Phoenix"
"1108041","Revisiting Normandy (From ""Saving Private Ryan"" Soundtrack)","John Williams","Saving Private Ryan","Saving Private Ryan"
"624783","Mrs. Robinson (From ""The Graduate"" Soundtrack)","Simon & Garfunkel","The Graduate - Music From The Broadway Comedy","The Graduate"
"70631608","I Don't Want to Miss a Thing (From ""Armageddon"" Soundtrack)","Aerosmith","Armageddon - The Album","Armageddon"
"4234135","Drink Up Me Hearties Yo Ho (From ""Pirates of the Caribbean: At World's End""/Score)","Hans Zimmer","Pirates of the Caribbean: At World's End","Pirates of the Caribbean: At World"
"1137370862","Day One (Interstellar Theme)","Hans Zimmer","Interstellar (Original Motion Picture Soundtrack) (Expanded Edition)","Interstellar"
"4234127","Up Is Down (From ""Pirates of the Caribbean: At World's End""/Score)","Hans Zimmer","Pirates of the Caribbean: At World's End","Pirates of the Caribbean: At World"
"15434839","The Name's Bond... James Bond (From ""Casino Royale"" Soundtrack) (Album Version)","David Arnold","Casino Royale","Casino Royale"
"134012986","Dancing In the Sheets (From ""Footloose"" Soundtrack)","Shalamar","Footloose (Original Motion Picture Soundtrack)","Footloose"
"1383448442","He Mele No Lilo (From ""Lilo & Stitch""/Soundtrack Version)","Mark Keali'i Ho'omalu","Disney Summer Songs","Lilo & Stitch"
"4234123","Hoist the Colours (From ""Pirates of the Caribbean: At World's End""/Soundtrack Version)","Hans Zimmer","Pirates of the Caribbean: At World's End","Pirates of the Caribbean: At World"
"4234124","Singapore (From ""Pirates of the Caribbean: At World's End""/Score)","Hans Zimmer","Pirates of the Caribbean: At World's End","Pirates of the Caribbean: At World"
