OriginalTitle,OriginalArtist,OriginalDeezerId,AlternativeTitle,AlternativeArtist,AlternativeDeezerId
"(thematic candidate)","","","Extreme Ways (Bourne's Ultimatum)","Moby","1178950"
"(thematic candidate)","","","Bathroom Dance","Hildur Guðnadóttir","767121772"
"(thematic candidate)","","","Worm Ride","Hans Zimmer","2670920802"
"(thematic candidate)","","","Double Trouble","John Williams","2794919"
"(thematic candidate)","","","Blade Runner Blues","Vangelis","691099"
"(thematic candidate)","","","This Land","Hans Zimmer","13794633"
"(thematic candidate)","","","Stoick's Ship","John Powell","78917810"
"(thematic candidate)","","","Fog Bound","Klaus Badelt","3117917"
"(thematic candidate)","","","Now You See Me 2 Main Titles","Brian Tyler","126371457"
"(thematic candidate)","","","Emma","Steven Price","117728414"
"(thematic candidate)","","","Singapore","Hans Zimmer","3107989"
"(thematic candidate)","","","Edoras","Howard Shore","526907762"
"(thematic candidate)","","","Iron Man 3","Brian Tyler","66608549"
"(thematic candidate)","","","Brothers In Arms","Junkie XL","647841602"
"(thematic candidate)","","","Finale","John Williams","831931052"
"(thematic candidate)","","","The Legend of Ashitaka (from 'Princess Mononoke')","Joe Hisaishi","2338649085"
"(thematic candidate)","","","Main Titles (Charlie and the Chocolate Factory)","Danny Elfman","647414792"
"(thematic candidate)","","","Indiana Jones Theme","Hollywood Studio Orchestra","1198104702"
"(thematic candidate)","","","Breaking Bad Main Title Theme (Extended)","Dave Porter","69838319"
"(thematic candidate)","","","My Watch Has Ended","Ramin Djawadi","127563051"
"(thematic candidate)","","","Main Title Terminator 2 Theme (Remastered 2017)","Brad Fiedel","142745594"
"(thematic candidate)","","","Mombasa","Hans Zimmer","6524412"
"(thematic candidate)","","","Eleven","Kyle Dixon & Michael Stein","130871180"
"(thematic candidate)","","","The King's Arrival","Ramin Djawadi","117729434"
"(thematic candidate)","","","Episode IV - Cantina Band","John Williams","193402381"
"(thematic candidate)","","","Remember","Hans Zimmer","709612582"
"(thematic candidate)","","","The Imperial March (Darth Vader's Theme)","John Williams","493842012"
"(thematic candidate)","","","Robin Hood: Prince of Thieves","Cinematic Symphony Orchestra","2142084407"
"(thematic candidate)","","","Ben","Trevor Rabin","3110548"
"(thematic candidate)","","","Journey to the Line (From ""The Thin Red Line"" Soundtrack)","Hans Zimmer","958673"
"(thematic candidate)","","","See You Tomorrow","John Powell","119437634"
"(thematic candidate)","","","New Tail","John Powell","119437632"
"(thematic candidate)","","","Oogway's Legacy","Hans Zimmer","117726006"
"(thematic candidate)","","","Professor Umbridge","Nicholas Hooper","679861"
"(thematic candidate)","","","House of Woodcock","Jonny Greenwood","443552742"
"(thematic candidate)","","","Infinite White","Steve Jablonsky","3818932"
"(thematic candidate)","","","Dueling Banjos","Eric Weissberg","724941"
"(thematic candidate)","","","Mr. Moustafa","Alexandre Desplat","74929085"
"(thematic candidate)","","","Magneto","Henry Jackman","12241621"
"(thematic candidate)","","","The All Spark","Steve Jablonsky","3583328"
"(thematic candidate)","","","Happiness Is Simple","Simon Franglen","2069246367"
"(thematic candidate)","","","Why so Serious?","Hans Zimmer","904628"
"(thematic candidate)","","","James Bond Theme","Monty Norman","75672738"
"(thematic candidate)","","","1917 (From ""1917"" Soundtrack)","Thomas Newman","823113522"
