Source,Kind,Year,CanonicalTitle,TrackCount
"Pirates of the Caribbean: The Curse of the Black Pearl","MOVIE","2003","Pirates of the Caribbean: The Curse of the Black Pearl","8"
"Pitch Perfect","MOVIE","2012","Pitch Perfect","1"
"Pitch Perfect 2","MOVIE","2015","Pitch Perfect 2","1"
"Pocahontas","MOVIE","1995","Pocahontas","2"
"Pretty Woman","MOVIE","1990","Pretty Woman","2"
"Pretty in Pink","MOVIE","1986","Pretty in Pink","2"
"Pride & Prejudice","MOVIE","2005","Pride & Prejudice","1"
"Pulp Fiction","MOVIE","1994","Pulp Fiction","5"
"Purple Rain","MOVIE","1984","Purple Rain","1"
"Ratatouille","MOVIE","2007","Ratatouille","1"
"Ready Player One","MOVIE","2018","Ready Player One","1"
"Reality Bites","MOVIE","1994","Reality Bites","2"
"Remember the Titans","MOVIE","2000","Remember the Titans","1"
"Requiem for a Dream","MOVIE","2000","Requiem for a Dream","1"
"Reservoir Dogs","MOVIE","1992","Reservoir Dogs","1"
"Risky Business","MOVIE","1983","Risky Business","1"
"Rock of Ages","MUSICAL","2005","Rock of Ages","1"
"Rocky III","MOVIE","1982","Rocky III","1"
"Rocky IV","MOVIE","1985","Rocky IV","4"
"Romeo + Juliet","MOVIE","1996","Romeo + Juliet","2"
"Runaway Train","MOVIE","1985","Runaway Train","1"
"Saturday Night Fever","MOVIE","1977","Saturday Night Fever","2"
"Saving Private Ryan","MOVIE","1998","Saving Private Ryan","2"
"Say Anything","MOVIE","1989","Say Anything","2"
"Schindler's List","MOVIE","1993","Schindler's List","1"
"Shaft","MOVIE","1971","Shaft","1"
"Sherlock Holmes","MOVIE","2009","Sherlock Holmes","1"
"Shrek","MOVIE","2001","Shrek","1"
"Shrek 2","MOVIE","2004","Shrek 2","1"
"Sing","MOVIE","2016","Sing","1"
"Sing 2","MOVIE","2021","Sing 2","1"
"Sixteen Candles","MOVIE","1984","Sixteen Candles","1"
"Skyfall","MOVIE","2012","Skyfall","1"
"Sliding Doors","MOVIE","1998","Sliding Doors","1"
"Spectre","MOVIE","2015","Spectre","1"
"Spider-Man","MOVIE","2002","Spider-Man","1"
"Spider-Man 2","MOVIE","2004","Spider-Man 2","1"
"Spider-Man: Into the Spider-Verse","MOVIE","2018","Spider-Man: Into the Spider-Verse","2"
"Spirited Away","MOVIE","2001","Spirited Away","2"
"St. Elmo's Fire","MOVIE","1985","St. Elmo's Fire","1"
"St. Elmo's Fire - Music From The","OTHER","1985","St. Elmo's Fire","2"
"Stand By Me","MOVIE","1986","Stand by Me","1"
"Stop Making Sense","MOVIE","1984","Stop Making Sense","1"
"Stranger Things","TV","2016","Stranger Things","4"
"Superman: The Movie","MOVIE","1978","Superman: The Movie","1"
"Sweet Home Alabama","MOVIE","2002","Sweet Home Alabama","1"
"Tangled","MOVIE","2010","Tangled","2"
"That Thing You Do!","MOVIE","1996","That Thing You Do!","1"
